n,t,m,meth
266,8.645830154418945,500289536,qrisp
311,12.364156007766724,578420736,qrisp
363,17.22998595237732,683249664,qrisp
424,24.67845606803894,827568128,qrisp
495,37.40249586105347,1025167360,qrisp
578,52.42906093597412,1290203136,qrisp
675,75.17525911331177,1652097024,qrisp
789,110.07285833358765,2147885056,qrisp
921,161.6365990638733,2821132288,qrisp
1075,238.09763312339783,3745062912,qrisp
1256,374.1567358970642,4997947392,qrisp
1467,544.6206719875336,6717386752,qrisp
1713,817.0771629810333,9041367040,qrisp
2000,1212.610536813736,10654490624,qrisp
